lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje
Muy satisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",1,Nacional,Nacional,60.0
Satisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",2,Nacional,Nacional,33.0
Ni satisfecho(a) ni Insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",3,Nacional,Nacional,4.0
Insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",4,Nacional,Nacional,1.0
Muy insatisfecho(a),sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",5,Nacional,Nacional,2.0
NO SABE/NO RESPONDE,sat1,"En general, ¿qué tan satisfecho(a) o insatisfecho(a) está usted con el servicio que recibe en la guardería del IMSS?",99,Nacional,Nacional,0.0
Excelente,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,1,Nacional,Nacional,59.0
Bueno,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,2,Nacional,Nacional,35.0
Ni bueno ni malo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,3,Nacional,Nacional,5.0
Malo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,4,Nacional,Nacional,1.0
Pésimo,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,5,Nacional,Nacional,0.0
NO SABE/NO RESPONDE,trato2,¿Cómo es el trato que usted recibe por parte del personal de la guardería?,99,Nacional,Nacional,0.0
Excelente,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,1,Nacional,Nacional,59.0
Bueno,trato1,¿Cómo es el trato que recibe el (la) niño(a) por parte del personal de la guardería?,2,Nacional,Nacional,36.0
